feature_name,slop,interception
T1C_original_shape_MeshVolume,231282,23679.79436
T1C_original_gldm_LargeDependenceEmphasis,599.817,576.8269038
T1C_log-sigma-1-0-mm-3D_gldm_SmallDependenceHighGrayLevelEmphasis,0.094255,0.010903225
T1C_log-sigma-3-0-mm-3D_gldm_LargeDependenceHighGrayLevelEmphasis,1442.658,738.2079833
T1C_log-sigma-3-0-mm-3D_ngtdm_Busyness,1430000,7623.4691
T1C_wavelet-HLL_firstorder_Energy,44462.474,3877.656969
T1C_wavelet-HHL_firstorder_Energy,10185.6523,1155.765368
T1C_wavelet-HHH_firstorder_Energy,45.69507,3.019287949
T2_log-sigma-1-0-mm-3D_gldm_LargeDependenceLowGrayLevelEmphasis,431.935,333.7661231
