,Coef
807,-1.9961410563604265
843,2.9652824143920777
882,-4.892839411802248
920,-1.6861119479036113
925,4.535614358614729
1179,-0.9681794599244363
1307,-0.7415892941500974
1375,5.5687998211277225
1659,-3.039999397242096
